DATE,B087RC1Q027SBEA
2018-01-01,2171.469
2018-04-01,2184.375
2018-07-01,2200.58
2018-10-01,2222.987
2019-01-01,2303.592
2019-04-01,2320.131
2019-07-01,2332.909
2019-10-01,2346.564
2020-01-01,2412.627
2020-04-01,4652.085
2020-07-01,3507.968
2020-10-01,2895.41
2021-01-01,5127.38
2021-04-01,3403.797
2021-07-01,3134.989
2021-10-01,2947.731
2022-01-01,2903.151
2022-04-01,2895.211
2022-07-01,2867.41
2022-10-01,2896.724
2023-01-01,2945.764
2023-04-01,2929.748
2023-07-01,2930.148
2023-10-01,2933.991
2024-01-01,3040.151
2024-04-01,3081.019
